City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Nanning,CN,60.8,scattered clouds,22.82,108.32,Nanning Travelling With Hostel
3,Carnarvon,AU,71.6,clear sky,-24.87,113.63,Hospitality Carnarvon
5,East London,ZA,66.2,clear sky,-33.02,27.91,Tu Casa
11,Rikitea,PF,74.03,overcast clouds,-23.12,-134.97,Pension Maro'i
12,Flinders,AU,66.0,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
13,Buraydah,SA,66.2,clear sky,26.33,43.98,Mövenpick Hotel Qassim
16,Kutoarjo,ID,61.0,broken clouds,-7.72,109.91,Massagus Hotel
18,Cape Town,ZA,62.01,scattered clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
32,Erzin,TR,61.0,few clouds,36.96,36.2,Artemis Otel
35,Faya,SA,62.6,clear sky,18.39,42.45,مقبرة ال مجمل
36,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
37,Port Elizabeth,ZA,62.6,scattered clouds,-33.92,25.57,39 On Nile Guest House
48,Hilo,US,73.4,mist,19.73,-155.09,Hilo Hawaiian Hotel
51,Ihosy,MG,72.28,broken clouds,-22.4,46.12,Hotely Sariaka
58,Coquimbo,CL,66.2,clear sky,-29.95,-71.34,Hotel San Juan
67,Jambi,ID,73.4,overcast clouds,-1.6,103.62,ASTON Jambi Hotel & Conference Center
68,Mollendo,PE,66.85,overcast clouds,-17.02,-72.01,Hostal La Casa de Melgar
74,Broken Hill,AU,62.6,clear sky,-31.95,141.43,Daydream Motel & Cottages
75,Port Alfred,ZA,64.27,broken clouds,-33.59,26.89,The Halyards Hotel
81,Bengkulu,ID,74.88,light rain,-3.8,102.27,Grage Hotel Bengkulu
88,Kiama,AU,66.0,overcast clouds,-34.68,150.87,The Sebel Kiama Harbourside
90,Kutum,SD,69.84,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
101,Esperance,AU,62.6,overcast clouds,-33.87,121.9,Hospitality Esperance
110,Chatakonda,IN,68.11,overcast clouds,17.55,80.65,Hotel Surya Palace
120,Mar Del Plata,AR,66.2,light rain,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
126,Longyan,CN,60.55,clear sky,25.11,117.02,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
127,Netanya,IL,66.2,clear sky,32.33,34.86,tch tch
128,Baran,IN,61.36,clear sky,25.1,76.52,Hotel shri ji
139,Camacha,PT,66.2,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
140,Santa Rosalia,MX,72.46,clear sky,27.32,-112.28,Hotel Las Casitas Santa Rosalia
143,Riyadh,SA,62.6,clear sky,24.69,46.72,InterContinental Riyadh
144,Ahipara,NZ,66.29,overcast clouds,-35.17,173.17,Ahipara Holiday Park
146,Luganville,VU,71.6,broken clouds,-15.53,167.17,The Espiritu Hotel
147,Myanaung,MM,72.16,clear sky,18.28,95.32,Taung Hlay Khar
153,Ponta Do Sol,PT,66.2,few clouds,32.67,-17.1,Hotel do Campo
158,Myitkyina,MM,62.15,broken clouds,25.38,97.4,Shwe Phyu Hotel
160,Ribeira Grande,PT,60.8,scattered clouds,38.52,-28.7,Quinta da Meia Eira
164,Adwa,ET,63.77,broken clouds,14.16,38.9,Maay Assa Hotel
172,Peniche,PT,61.0,overcast clouds,39.36,-9.38,Hotel Star inn Peniche
174,Pandharpur,IN,70.11,broken clouds,17.67,75.33,Hotel Vitthal Inn Pandharpur
