,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Pevek,69.7,170.31,13.98,96,84,2.39,RU,2020-11-24 18:34:33,broken clouds
1,Kavieng,-2.57,150.8,83.23,77,100,12.5,PG,2020-11-24 18:34:33,overcast clouds
2,Nanning,22.82,108.32,60.8,87,40,6.71,CN,2020-11-24 18:30:33,scattered clouds
3,Carnarvon,-24.87,113.63,71.6,83,0,16.11,AU,2020-11-24 18:34:33,clear sky
4,Arraial Do Cabo,-22.97,-42.03,78.8,78,75,13.87,BR,2020-11-24 18:34:33,broken clouds
5,East London,-33.02,27.91,66.2,55,0,13.87,ZA,2020-11-24 18:34:33,clear sky
6,Bredasdorp,-34.53,20.04,57.2,58,65,9.17,ZA,2020-11-24 18:34:33,broken clouds
7,Tasiilaq,65.61,-37.64,21.2,67,75,9.17,GL,2020-11-24 18:34:33,broken clouds
8,Nsanje,-16.92,35.26,88.86,31,3,0.51,MW,2020-11-24 18:34:33,clear sky
9,Cabo San Lucas,22.89,-109.91,82.99,42,75,2.24,MX,2020-11-24 18:29:41,broken clouds
10,Dikson,73.51,80.55,15.21,96,100,22.39,RU,2020-11-24 18:34:33,overcast clouds
11,Rikitea,-23.12,-134.97,74.03,78,100,12.46,PF,2020-11-24 18:34:33,overcast clouds
12,Flinders,-34.58,150.86,66.0,82,97,1.01,AU,2020-11-24 18:34:34,overcast clouds
13,Buraydah,26.33,43.98,66.2,52,0,8.05,SA,2020-11-24 18:30:22,clear sky
14,Bluff,-46.6,168.33,48.99,94,0,1.01,NZ,2020-11-24 18:34:34,clear sky
15,Thompson,55.74,-97.86,10.4,85,90,3.36,CA,2020-11-24 18:34:34,light snow
16,Kutoarjo,-7.72,109.91,61.0,81,61,2.55,ID,2020-11-24 18:30:09,broken clouds
17,Port Hardy,50.7,-127.42,42.8,100,75,2.24,CA,2020-11-24 18:34:34,broken clouds
18,Cape Town,-33.93,18.42,62.01,58,40,9.17,ZA,2020-11-24 18:34:14,scattered clouds
19,Jamestown,42.1,-79.24,39.99,69,75,3.27,US,2020-11-24 18:30:16,broken clouds
20,Ongandjera,-17.88,15.07,87.24,21,4,14.05,NA,2020-11-24 18:34:34,clear sky
21,Mahebourg,-20.41,57.7,75.2,88,75,8.05,MU,2020-11-24 18:34:34,shower rain
22,Cravo Norte,6.3,-70.2,89.96,56,93,7.4,CO,2020-11-24 18:34:34,overcast clouds
23,Butaritari,3.07,172.79,81.57,79,16,16.67,KI,2020-11-24 18:34:34,few clouds
24,Kapaa,22.08,-159.32,77.0,83,90,18.34,US,2020-11-24 18:34:34,overcast clouds
25,Kidal,18.44,1.41,69.67,19,0,7.0,ML,2020-11-24 18:34:34,clear sky
26,Mataura,-46.19,168.86,48.99,94,0,1.01,NZ,2020-11-24 18:34:34,clear sky
27,Beyneu,45.32,55.2,30.97,97,0,7.94,KZ,2020-11-24 18:34:34,clear sky
28,Meulaboh,4.14,96.13,77.97,85,100,4.76,ID,2020-11-24 18:34:34,overcast clouds
29,Provideniya,64.38,-173.3,35.31,95,100,17.09,RU,2020-11-24 18:34:35,light rain
30,Nikolskoye,59.7,30.79,36.0,94,90,4.47,RU,2020-11-24 18:34:35,overcast clouds
31,Torbay,47.67,-52.73,55.4,93,90,27.51,CA,2020-11-24 18:34:35,light rain
32,Erzin,36.96,36.2,61.0,37,22,5.77,TR,2020-11-24 18:34:35,few clouds
33,Neiafu,-18.65,-173.98,77.0,88,40,16.31,TO,2020-11-24 18:34:35,scattered clouds
34,Labytnangi,66.66,66.42,6.1,94,99,3.44,RU,2020-11-24 18:34:35,overcast clouds
35,Faya,18.39,42.45,62.6,87,0,2.28,SA,2020-11-24 18:34:35,clear sky
36,Vaini,-21.2,-175.2,73.4,94,75,4.7,TO,2020-11-24 18:34:35,broken clouds
37,Port Elizabeth,-33.92,25.57,62.6,72,40,24.16,ZA,2020-11-24 18:32:36,scattered clouds
38,Haines Junction,60.75,-137.51,17.6,72,100,11.41,CA,2020-11-24 18:34:35,overcast clouds
39,Khatanga,71.97,102.5,9.99,96,100,6.49,RU,2020-11-24 18:34:35,overcast clouds
40,Sitka,57.05,-135.33,44.6,56,90,9.17,US,2020-11-24 18:34:35,overcast clouds
41,Hobart,-42.88,147.33,59.0,72,7,9.17,AU,2020-11-24 18:30:36,clear sky
42,Severo-Kurilsk,50.68,156.12,30.07,89,87,31.45,RU,2020-11-24 18:34:35,overcast clouds
